[11-Jul-2023 11:01:23 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:23 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:02:00 UTC] PHP Parse error:  syntax error, unexpected variable "$ch" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 55
[11-Jul-2023 11:02:00 UTC] PHP Parse error:  syntax error, unexpected variable "$ch" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 55
[11-Jul-2023 11:02:01 UTC] PHP Parse error:  syntax error, unexpected variable "$ch" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 55
[11-Jul-2023 11:02:18 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_init" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 55
[11-Jul-2023 11:02:18 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_init" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 55
[11-Jul-2023 11:02:19 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_init" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 55
[11-Jul-2023 11:02:34 UTC] PHP Fatal error:  Uncaught Error: Call to undefined method TripadvisorReviewPlugin::custom_post_type() in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php:33
Stack trace:
#0 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-hook.php(308): TripadvisorReviewPlugin->activate(false)
#1 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-hook.php(332): WP_Hook->apply_filters('', Array)
#2 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\plugin.php(517): WP_Hook->do_action(Array)
#3 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-admin\includes\plugin.php(691): do_action('activate_tripad...', false)
#4 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-admin\plugins.php(58): activate_plugin('tripadvisor-plu...', 'http://tripadvi...', false)
#5 {main}
  thrown in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 33
[11-Jul-2023 11:02:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined method TripadvisorReviewPlugin::custom_post_type() in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php:33
Stack trace:
#0 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-hook.php(308): TripadvisorReviewPlugin->activate('')
#1 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-hook.php(332): WP_Hook->apply_filters('', Array)
#2 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\plugin.php(517): WP_Hook->do_action(Array)
#3 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-admin\plugins.php(194): do_action('activate_tripad...')
#4 {main}
  thrown in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 33
[11-Jul-2023 11:02:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined method TripadvisorReviewPlugin::custom_post_type() in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php:33
Stack trace:
#0 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-hook.php(308): TripadvisorReviewPlugin->activate('')
#1 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-hook.php(332): WP_Hook->apply_filters('', Array)
#2 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\plugin.php(517): WP_Hook->do_action(Array)
#3 C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-admin\plugins.php(194): do_action('activate_tripad...')
#4 {main}
  thrown in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 33
[11-Jul-2023 11:21:43 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 1984
[11-Jul-2023 11:21:45 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:21:45 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:22:09 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:22:09 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:22:45 UTC] PHP Parse error:  syntax error, unexpected token "return" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 38
[11-Jul-2023 11:22:49 UTC] PHP Parse error:  syntax error, unexpected token "return" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 38
[11-Jul-2023 11:22:49 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:22:49 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:22:49 UTC] PHP Parse error:  syntax error, unexpected token "return" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 38
[11-Jul-2023 11:22:49 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:22:49 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:22:58 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 1984
[11-Jul-2023 11:22:59 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:22:59 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:34 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 1984
[11-Jul-2023 11:24:35 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:24:35 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:38 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:24:38 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:38 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:24:38 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:40 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:24:40 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:40 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:24:40 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:41 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
[11-Jul-2023 11:24:41 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 489
[11-Jul-2023 11:24:41 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\class-wp-block-parser.php on line 417
